"","X","score","text","emotion","polarity"
"11",11,8,"I have had the tablet for a week. I am a member of the Apple (evil) ecosystem, with iPhone 5s, iPad mini, iPad Air, and MacBook Air. While having another tablet is a bit absurd, the Fire HD 6 is much more pocketable than the iPad mini and much less expensive to replace if lost. Therefore, the niche I use it for is to carry it around while out and about, much like my iPhone (with its most direct competitor being the iPhone 6 plus), but with a screen just big enough to read comfortably.(I might use it as my alarm clock, since the clock has an excellent night stand view.)Since I am not a member of the Google/Android (evil) ecosystem, inability to use those apps/music is irrelevant to me. If anything, I would want the Fire to be more like a cheaper, smaller iPad. I would like my Apple news/magazine subscriptions to be fully usable with Fire apps. My National Geographic subscription works fine on the Fire, as does my NYT digital subscription, but the Fire NYT app is more limited than the Apple one. However, there is enough common apps/interoperability (e.g., Outlook Exchange, OneNote) not to mind leaving the Apple realm and entering the Amazon dominion.The build quality of the tablet seems solid (though thinner/lighter would be nicer), and battery life and screen quality are excellent. The accuracy and fluidity of the touch screen are comparable with an iPad. The tablet seems quick, but sometimes lags, but so do my iPads. I have not found the software to be buggy. Most steps and features are fairly consistent with other tablets and therefore are not hard to learn. Amazon should consider adding a May Day option that users could purchase if they are new to tablets.This tablet is best for something that's easy to pocket, but big enough to read. Many could use it comfortably as a primary tablet, but a higher end Amazon tablet would better fill that role. The size of the Fire HD 6 also seems to eliminate many reasons for having a Kindle device, except for reading in the sun or next to a light-sensitive bed mate.","joy","neutral"
"12",12,-1,"I bought this for my son 10 year old for Christmas. He loved it, everything was great. The sound, the speed, the clarity awesome. It had all the games and books and music. Awesome  BUT he was outside today and it slipped from his hand and fell on the ground and the screen shattered. He is 10 so the fall could have been not more than 2.5 feet. He did not throw it down it slipped.  I called amazon to see if there was something that could be done, it was only 4 months old. NOPE! I was told a dropping the device voided the warranty.  There is no repair kit, or vendor. But she could offer me a discount... of 113. a SIX dollar discount from the current price. I bought it for $99 so not really a discount for me. While understand that electronic are fragile, when you see the commercials where kindles are dropped down a fight of uncarpeted stairs or fall off a vehicle on to the pavement without a scratch... Let's just say don't believe the hype.","joy","neutral"
"13",13,10,"i love this tablet.  i am a tablet geek -- don't know how i got to that place because i went into tech kicking and screaming.  I own/have owned 1st Nook and all subsequent Nooks, kindle paperwhite, kindle fire, kindle hd, hd 8.9, hdx 7, all Samsung Galaxy Tablets including the Note 8, original 10.1, currently the 2014 10.1, the Note 2 and currently the Note 3 phones, an Ipad 2, and 2 ipad 3/with retina, and the original Nexus.  perhaps others have escaped my memory.That said, the primary tablets i currently use with any regularity are my Note 3 phone, my Kindle Fire hdx 7, and my Note 10.1 2014.  I will be adding the Kindle Fire 6 to the list.  it surprised me with the size.  i'd excpected a more square device, but it is about the size/shape of an average paperback -- and not a trade version.  I don't get everyones comments on the back of any device -- i think most people but some kind of case or cover on their devices, so who cares.  I have a $30 Fire HD 6 case on my device.  the whole thing is about 1/2"" thick.  I don't care about the camera since i use my Note 3 as my camera.  i don't skype (or even FaceTime on the ipad). I mostly use my devices as ereaders and sometimes for games (mostly use my large phone).  I also use them for web surfing, email, and the occasional YouTube playing.Why do i like this?  the screen is great -- and i probably won't put a screen protector on this as I have with all other devices. The speed is fast.  I received a notice on my HDX 7 that an upgrade will be coming soon.  What I hope to use this particular device for is serious reading -- non-fiction religious books, writing books, 12-step literature,  and the like.Finally, for those who don't like Amazon's ecosystem, all devices are locked into an ecosystem.  However, there is a way to get some other apps onto the Kindle.  Go to www.getjar.com. From that site you can download other, non-amazon apps.  the one i've downloaded onto all of my kindles is the Nook app.  yes, i can use a Nook app on my Kindles.  since Nook was my first e-reader, i have perhaps 1000 books on it.  I still occasionally purchase Nook books, especially if they are part of a series i started on Nook.  Nook also has a Nook Daily Find, which is an inexpensive title priced low for that day.  and they have Free Fridays, where a book, an app, and now a video (often an episode of a TV show) are available for free.I hope this helps.  I love this new size.","joy","positive"
"14",14,0,"was everything and more then what I expected","unknown","positive"
"15",15,4,"For the price, you cannot go wrong with this tablet! It actually does more than I expected.  It is similar to the iPad mini that I used to own.  I actually have owned and still own many Apple products, but wanted to use this tablet to watch my Prime videos and listen to music with the prime music.The App Store is okay for the kindle, though not as good as the Android and Apple stores, but suffice.  The camera is an awful 2mp, that is very ""noisy"" (photography term for pixelated).  The mono speaker is such ""old"" technology. The touch screen is not as responsive as my iPhone.Though these may seem like many complaints, once again, this product is less than $100.  Other tablets for that price were just phony toys for kids.  You could actually use this at your work or at school.  You will not find a tablet like this from another company for under $200.If you want to buy the 7"" one, then for $40 more you can! I do like the fact that I can fit this in my pocket, but is big enough to type notes and watch movies!I would recommend this product to my friends and family and to others and I will buy another one soon in blue in a couple weeks!","joy","neutral"
"16",16,0,"Warning if you have a limited data plan. This device should only be used if you have unlimited or lots of data as it constantly transfers large amounts of data without notification even if you never stream video or music.  The first day we fired this up it used over 3Gb of data just updating and installing free junk we did not request or want.  We paid extra not to get the ads  and I would imagine that they constantly update and use even more data.  I have owned every  Kindle since the original  one and loved them all  but this one greatly disappointed me.  We are rural and data is expensive but this device seems to assume that everyone has unlimited data.  There does not seem to be anyway to limit it's data consumption so every time you enable wireless you will have no control over how much data it uses.The touch screen seems far worse than the original Fire requiring several taps to select things.  My wife downloaded an audible book and when she tried to open it the second time the screen did not respond so she tapped it twice which then deleted the book with no notice. Very poor design and not nearly as well done as the original Fire that we each use for hours every day.I spent my engineering career designing computers and I regard this as a device that should not have been released until the bugs were worked out.  Before you sell a product the software should be updated and not require a huge update right after power up.We bought this for the size and Bluetooth streaming but may have to return it if there is no way to fix the data consumption.","sadness","neutral"
"17",17,12,"If you love Kindles you will love the 6. Three of us in my household have the earlier generation kindle fire hd, which we won’t part with. One also has a very early kindle which he reads in bed. Used to it; it has a light, won’t give it up.I am not quite an early adopter, but close, and I worried about buying 3 of these sight unseen, one for my sister and two as prizes for children in a low income neighborhood.Yesterday, I asked my husband to try out reading his current book on a new 6. He didn’t put it down even though it, as yet, has no case and he is used to reading kindles like a book—open and close.My joy was finding all my music there, all my books, and emails etc. Who cares about the camera? My husband is a professional and loves his various Nikons he won’t use anything else.  I care for those quick shots to capture the deer nibbling at my shrubs, the dog doing something adorable; the children caught in fun. “I thought you were reading.”  I am reading. No fabulous shots, but it’s in my kindle.I haven’t given it the full workout, but I will before we deregister them and give them to worthy schoolchildren.But they are so light and so reasonable, I am thinking of buying one for my handbag… commuting, airplanes, doctors and dentists offices with their interminable waits, coffee shops…  and keeping my earlier joy, the original Kindle HD at bedside and syncing.Based on this two- day experience, I won’t buy stock in Amazon. They can’t make a profit on these. Delightful and inexpensive.","joy","positive"
"18",18,12,"Let me stress that for the feature I enjoy most you MUST pay $20 more to get the 16GB version in order to fully utilize (though works with 8GB). This is the feature that allows you to download a huge library of Amazon Prime free videos including many top HBO and Showtime series as well as Amazon's Transformed. As I am on a train 2-3 hours a day this offline viewing is worth many times to price of this device. Just make sure you have the 16GB version as the 8GB version ultimately has only about 3.5GB free storage making it essentially a cloud device. Also when downloading videos I suggest choose the ""Better"" downloading format which is the middle choice between lower and higher resolution (and storage). I find this to be perfectly acceptable from a viwing standpoint.Overall the screen resoloution and sharpness is better than I expected. I agree that this can also serve as a terrific e-reader and if you do not have an iPad, a fun device to play games on. I find the touchscreen not to always be perfectly responsive but am guessing this can be fixed by a software update.Fantastic value overall.","surprise","positive"
"19",19,2,"I bought them for my boys. It's a perfect size for them. They keep them on the charger while at school, and can play them until time for bed. It's not my first time getting a kindle fire, but first for my boys. The quality is great! And they are having a blast using them!","anger","positive"
"20",20,14,"I have a Kindle Fire 8.9"" 1st generation and I love it. I didn't need the HD 6"" (8G) tablet but I wanted something smaller and I love this size. The price is so fantastic, $99 for a tablet is such a deal.I wasn't sure how I would like reading on a smaller device but I actually like it better, even better than my Kindle ereader.I was pleasantly surprised to find that this little tablet really is much faster than my larger one. And it seems to use less battery power. I got lots of free apps and loaded it up with books, music,and photos. This didn't slow it down. Music does take up more storage than anything else.I had no trouble downloading books, audiobooks, music, and pictures. The tablet is very easy to navigate despite the smaller size, I don't even need a stylus.This is my fourth Kindle product. I bought the 1st and 3rd generation ereaders and the 8.9"" tablet and they just keep making them better. I have never had any issues other than a couple charging issues when the 8.9"" first came out but it was fixed quickly.The 6"" streams very quickly, no glitches and looks fantastic. It is faster than my laptop and larger tablet. It's amazing!I do wish there was a flash for the camera, especially since it is both front and rear facing, I would use it more. This is the only con I have found.This is another great Amazon product that comes with all the extra features they offer their customers.I used to think people were crazy for reading on their phones but this isn't much bigger than some and I could read on this all day. It truly is a steal.Update 10/9/14; I am still LOVING this Kindle, I use this more then my ereader or 8.9"" Fire. I pretty much use it all the time!Don't get the Battery Saver app, it would sometimes make the tablet freeze.I also like that on this Fire I can have my reading background be a light green color. I was using sepia on the other Fire. This may not be new to the HD Fires but it is new to me and I like it.","joy","positive"
"21",21,1,"I would recommend this for anyone","unknown","positive"
"22",22,3,"I bought this tablet for my 8 year old son. This past year I have spent 70.00 on a cheap RCA tablet, and 100.00 on a google nextbook, then 160 on the Hisense Pro last year for Christmas. Needless to say, ALL OF THEM HAVE BROKE SINCE THEN!For being under a 100 dollars I can't praise it enough in comparison to the other tablets in that price bracket. Compared to the cheap tables I bought before, this tablet is glorious.Since I bought it for my son, I really appreciate the sturdy structure, very easy to hold and use for small hands. But it also fits VERY comfortably in my own hands. Its actually easier to hold than my own tablet, the fire HDX 7 (the sleek back, and pointy corners make my hands cramp up. I think I dropped it five times on my face before I got the case which makes it a lot easier to hold!)The picture looks fantastic for the price range. Very clear and bright, no glare. If you've bought cheap tablets before, then you know how terrible the glare can be. The sound is decent. The touch is super easy and sensitive. My son has no problems navigating through Pocket Minecraft. Added Kindle Unlimited Freetime for kids and I am in love.I have had no problems with any lagging or crashes or even when I've stole it to surf on the internet.I made the mistake of buying my 7 year old and 4 year old Leappad 2s last year and greatly regret the money trap that comes with it. (games loaded directly onto the Leappad range anywhere from 7.99 to 25.00 per game!!) If your in the market for buying a tablet for your children, you cannot beat this nugget with the free time. Cheaper, full of games, books, kids movies that personally have my two younger kids drooling over my son's new tablet.I'm waiting for the kids case to come out and it will be perfect.On a different note, I have thought about buying one for myself just to fit easily into my purse for easy reading when traveling.I hope the price stays the same because I will be buying these for Christmas gifts for pretty much all my nieces and nephews!","joy","positive"
"23",23,5,"I love this tablet. So far it does everything I need it to do. This is my first tablet and I'm quite happy about it. I was using the 3rd gen kindle. It's nice that it's the same size as it. The only drawback is that it's hard to hold it up because it's heavy. I recommend the 16GB over the 8GB. I think spending the extra 20 dollars for more space was worth it. Also it was nice that your Amazon account came preloaded and all my books were ready to go for me as soon as I took it out of the box.","joy","positive"
"24",24,11,"Love love love. Coming from an Apple fan, owner of two previous kindles and the loving owner of an ipad mini. It's extremely fast compared to the original kindle fire and just really fast in general. Recommended for anyone, but don't think it replaces an ipad if anything it's a great sidekick! And I do want to note how much this product has made me love Amazon more, and it's great for teens because Amazon was the first ever online shopping I ever did and the first time I could learn to buy things for myself, it rewarding to wait for your products and unwrap them, esp when you are 14 and never had much of your own privilege of buying gifts for your family on your own.","joy","positive"
"25",25,14,"I got mine yesterday and I can't stop playing with it.  I have a number of tablets and it's my third Kindle Fire but it's my first 6"" tablet.  That is it's outstanding feature.  It's a perfect fit in my hand when playing Sudoku or other light games, which are most of the games I play.  This is going to be my first choice for little games from now on.I've watched a couple of TV shows on it.  I'm used to watching on a larger tablet but they're fine on this.  When I start watching my first thought is that I'm not going to like this small screen and the next thing I know I'm absorbed in the story and the screen is world-sized, just like my larger screens when I'm watching a TV show or movie.  It's easy to carry walking around the house while watching a show and I like that.I listened to a few minutes of an audiobook and that works out nicely.  The speaker is fine for that in my quiet house.  It's good and clear and has enough volume.There have been a few little problems.  When I type in a search phrase, either in the browser or in the store, about half the time when I'm a few letters into the description the keyboard disappears.  I've found that if I wait for whatever page I'm on to finish loading that doesn't happen.  I'm hoping this will be fixed soon in an update.  In the meantime it's a pretty minor problem.  I've had a lot more and worse problems with IOS 8 on my Ipad and with Windows 8.Another problem is that when I adjust the brightness for reading it adjusts for the tablet overall, so I have to adjust at the beginning and the end of each reading session.  This needs to be fixed and it needs to allow lower brightness than it does.  It also needs to allow more color options while reading.  The sepia reduces contrast too much.  The background is improved but the text is now not dark enough.  Allowing us to control the text and the background separately would be much better.  As it is I probably won't use it for reading.  I have a Paperwhite so that's okay but I'd like to have been able to do more reading with this thing too.Other than that it's been very good.  I wonder if this will start a new size trend among tablets.  I won't be surprised if it does.Barry","joy","positive"
